naslov,avtor,ocena,score,glasovalci

Harry Potter and the Deathly Hallows,J.K. Rowling,4.62,395.37,3995

The Hunger Games,Suzanne Collins,4.33,291.668,2976

The Kite Runner,Khaled Hosseini,4.29,258.976,2630

The Book Thief,Markus Zusak,4.37,252.139,2568

Harry Potter and the Half-Blood Prince,J.K. Rowling,4.57,220.842,2274

Harry Potter and the Order of the Phoenix,J.K. Rowling,4.5,200.661,2084

The Help,Kathryn Stockett,4.47,164.521,1702

A Thousand Splendid Suns,Khaled Hosseini,4.37,159.668,1634

Life of Pi,Yann Martel,3.91,150.059,1539

Catching Fire,Suzanne Collins,4.29,146.335,1535

The Girl with the Dragon Tattoo,Stieg Larsson,4.13,141.407,1469

The Time Traveler's Wife,Audrey Niffenegger,3.97,138.902,1425

The Fault in Our Stars,John Green,4.22,130.037,1355

The Da Vinci Code,Dan Brown,3.84,123.402,1285

The Road,Cormac McCarthy,3.97,119.557,1225

Water for Elephants,Sara Gruen,4.09,111.292,1159

The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.88,110.215,1149

Mockingjay,Suzanne Collins,4.04,102.705,1100

Middlesex,Jeffrey Eugenides,4.0,84.603,873

The Lovely Bones,Alice Sebold,3.81,84.339,887

Twilight,Stephenie Meyer,3.59,81.789,857

Divergent,Veronica Roth,4.2,81.443,872

Atonement,Ian McEwan,3.9,79.507,832

The Lightning Thief,Rick Riordan,4.25,78.739,838

The Shadow of the Wind,Carlos Ruiz Zafón,4.27,74.939,783

City of Bones,Cassandra Clare,4.1,73.609,779

American Gods,Neil Gaiman,4.11,73.186,760

The Secret Life of Bees,Sue Monk Kidd,4.05,71.77,757

Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98,71.039,734

The Glass Castle,Jeannette Walls,4.27,69.057,727

My Sister's Keeper,Jodi Picoult,4.07,66.012,698

Angels &amp; Demons,Dan Brown,3.89,65.943,702

Never Let Me Go,Kazuo Ishiguro,3.82,61.826,650

The Girl Who Played with Fire,Stieg Larsson,4.24,61.269,662

Cloud Atlas,David Mitchell,4.02,53.313,554

The Host,Stephenie Meyer,3.84,50.941,546

Breaking Dawn,Stephenie Meyer,3.69,50.105,541

The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.16,49.999,532

The Girl Who Kicked the Hornet's Nest,Stieg Larsson,4.22,48.424,532

Eclipse,Stephenie Meyer,3.69,48.364,525

"Eat, Pray, Love",Elizabeth Gilbert,3.55,45.849,488

New Moon,Stephenie Meyer,3.53,44.779,490

City of Glass,Cassandra Clare,4.32,41.426,449

The Name of the Wind,Patrick Rothfuss,4.54,41.044,423

Kafka on the Shore,Haruki Murakami,4.14,40.965,429

The Graveyard Book,Neil Gaiman,4.14,40.133,429

Room,Emma Donoghue,4.06,39.085,422

City of Ashes,Cassandra Clare,4.18,37.339,412

Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,3.97,35.497,370

The Brief Wondrous Life of Oscar Wao,Junot Díaz,3.9,35.291,369

The Corrections,Jonathan Franzen,3.79,34.649,366

Gone Girl,Gillian Flynn,4.07,32.946,362

The Night Circus,Erin Morgenstern,4.04,32.936,354

The Devil in the White City,Erik Larson,3.99,32.799,352

Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.13,32.338,350

The Thirteenth Tale,Diane Setterfield,3.96,32.303,344

Vampire Academy,Richelle Mead,4.13,32.168,348

The Historian,Elizabeth Kostova,3.78,31.571,336

The Other Boleyn Girl,Philippa Gregory,4.06,31.524,345

The Art of Racing in the Rain,Garth Stein,4.21,31.346,339

Everything Is Illuminated,Jonathan Safran Foer,3.9,31.319,330

No Country for Old Men,Cormac McCarthy,4.14,31.276,333

Bel Canto,Ann Patchett,3.93,31.117,332

The Complete Persepolis,Marjane Satrapi,4.39,31.008,328

The Namesake,Jhumpa Lahiri,3.99,30.296,323

Oryx and Crake,Margaret Atwood,4.01,30.007,318

Snow Flower and the Secret Fan,Lisa See,4.07,29.925,325

A Short History of Nearly Everything,Bill Bryson,4.21,29.43,313

Jonathan Strange &amp; Mr Norrell,Susanna Clarke,3.82,27.532,290

The Memory Keeper's Daughter,Kim Edwards,3.67,26.991,297

"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,4.25,24.598,256

The Shack,William Paul Young,3.77,23.989,258

The God Delusion,Richard Dawkins,3.9,23.958,252

Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,3.65,23.689,257

"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,4.38,23.461,251

Sarah's Key,Tatiana de Rosnay,4.16,23.171,257

All the Light We Cannot See,Anthony Doerr,4.33,23.062,250

Nineteen Minutes,Jodi Picoult,4.12,21.958,243

The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,4.18,20.921,221

What Is the What,Dave Eggers,4.16,20.468,216

The History of Love,Nicole Krauss,3.92,20.326,219

Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.93,19.947,213

The White Tiger,Aravind Adiga,3.74,19.52,213

The Boy in the Striped Pajamas,John Boyne,4.14,18.73,208

Looking for Alaska,John Green,4.04,18.247,201

Dress Your Family in Corduroy and Denim,David Sedaris,4.1,18.162,194

The Story of Edgar Sawtelle,David Wroblewski,3.62,17.956,195

Empire Falls,Richard Russo,3.93,17.914,194

Gilead,Marilynne Robinson,3.85,17.838,192

John Adams,David McCullough,4.06,17.718,192

The Year of Magical Thinking,Joan Didion,3.89,17.342,190

"Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,3.87,17.139,186

A Million Little Pieces,James Frey,3.65,17.109,185

Anansi Boys,Neil Gaiman,4.03,16.163,173

11/22/63,Stephen King,4.31,16.162,176

God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,3.97,16.07,171

Insurgent,Veronica Roth,4.04,15.835,183

Ready Player One,Ernest Cline,4.27,15.579,171

People of the Book,Geraldine Brooks,4.02,15.301,167

Cutting for Stone,Abraham   Verghese,4.29,15.011,162

Unaccustomed Earth,Jhumpa Lahiri,4.13,13.957,153

Clockwork Angel,Cassandra Clare,4.33,13.698,154

Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,4.0,12.874,142

The Goldfinch,Donna Tartt,3.92,12.823,141

"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,4.04,12.797,138

The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.06,12.776,145

We Need to Talk About Kevin,Lionel Shriver,4.08,12.502,136

Eragon,Christopher Paolini,3.9,12.198,139

Una Historia de Ayer,Sergio Cobo,4.65,11.9,119

The Five People You Meet in Heaven,Mitch Albom,3.93,11.662,129

On Beauty,Zadie Smith,3.73,11.52,126

The Martian,Andy Weir,4.4,11.347,128

The Known World,Edward P. Jones,3.83,11.312,124

A Dance with Dragons,George R.R. Martin,4.33,11.21,125

World Without End,Ken Follett,4.27,11.032,121

Coraline,Neil Gaiman,4.06,10.976,123

The Last Olympian,Rick Riordan,4.51,10.776,125

Graceling,Kristin Cashore,4.08,10.737,121

Freedom,Jonathan Franzen,3.75,10.736,119

Year of Wonders,Geraldine Brooks,4.01,10.699,119

The Maze Runner,James Dashner,4.02,10.082,116

A Feast for Crows,George R.R. Martin,4.14,9.985,112

The Millennium Trilogy,Stieg Larsson,4.47,9.65,104

The Elegance of the Hedgehog,Muriel Barbery,3.76,9.642,107

The Sea of Monsters,Rick Riordan,4.24,9.62,114

Thirteen Reasons Why,Jay Asher,3.94,9.47,107

Seabiscuit: An American Legend,Laura Hillenbrand,4.22,9.379,105

Shantaram,Gregory David Roberts,4.27,9.307,99

World War Z: An Oral History of the Zombie War,Max Brooks,4.01,9.255,105

The Titan's Curse,Rick Riordan,4.35,9.163,110

Shadow Kiss,Richelle Mead,4.36,9.066,103

The Last Lecture,Randy Pausch,4.27,8.961,99

